episodeid	eventId	year	monthname	beginyearmonth	beginday	begintime	begindatetime	endyearmonth	endday	endtime	enddatetime	eventtype	eventcat	state	county	totalinjuries	totaldeaths	totaldamage	magnitude	magnitudetype	category	fscale
1187879	5448048	2005	April	200504	18	1730	4/18/05 17:30	200504	18	1930	4/18/05 19:30	Flash Flood	Flood	NEBRASKA	YORK	0	0	10000				
1188368	5448561	2005	April	200504	1	530	4/1/05 5:30	200504	1	930	4/1/05 9:30	Flash Flood	Flood	ALABAMA	PERRY	0	0	2000				
1188494	5446046	2005	April	200504	1	0	4/1/05 0:00	200504	3	2300	4/3/05 23:00	Flood	Flood	ALABAMA	DALLAS	0	0	1000				
1188291	5448098	2005	April	200504	2	2000	4/2/05 20:00	200504	2	2300	4/2/05 23:00	Flood	Flood	NEW YORK	ONTARIO	1	0	0				
1189014	5451485	2005	April	200504	28	1900	4/28/05 19:00	200504	30	1900	4/30/05 19:00	Flood	Flood	MAINE	COASTAL YORK	0	0	196000				
1189014	5451490	2005	April	200504	28	2200	4/28/05 22:00	200504	30	100	4/30/05 1:00	Flood	Flood	MAINE	KNOX	0	0	10000				
1189014	5451492	2005	April	200504	28	1900	4/28/05 19:00	200504	30	1900	4/30/05 19:00	Flood	Flood	MAINE	NORTHERN FRANKLIN	0	0	10000				
1189010	5451390	2005	April	200504	3	700	4/3/05 7:00	200504	4	1100	4/4/05 11:00	Flood	Flood	MAINE	COASTAL CUMBERLAND	0	0	7000				
1189010	5451401	2005	April	200504	3	1100	4/3/05 11:00	200504	4	1100	4/4/05 11:00	Flood	Flood	MAINE	SAGADAHOC	0	0	2000				
1189013	5451424	2005	April	200504	24	1230	4/24/05 12:30	200504	25	445	4/25/05 4:45	Flood	Flood	NEW HAMPSHIRE	SOUTHERN CARROLL	0	0	5000				
1189013	5451480	2005	April	200504	24	930	4/24/05 9:30	200504	25	615	4/25/05 6:15	Flood	Flood	NEW HAMPSHIRE	SOUTHERN GRAFTON	0	0	5000				
1189013	5451423	2005	April	200504	24	930	4/24/05 9:30	200504	25	615	4/25/05 6:15	Flood	Flood	NEW HAMPSHIRE	NORTHERN GRAFTON	0	0	5000				
1189014	5451495	2005	April	200504	28	1900	4/28/05 19:00	200504	30	1900	4/30/05 19:00	Flood	Flood	MAINE	SOUTHERN FRANKLIN	0	0	10000				
1189014	5451491	2005	April	200504	28	2200	4/28/05 22:00	200504	30	100	4/30/05 1:00	Flood	Flood	MAINE	LINCOLN	0	0	10000				
1189014	5451487	2005	April	200504	28	2200	4/28/05 22:00	200504	30	100	4/30/05 1:00	Flood	Flood	MAINE	INTERIOR WALDO	0	0	14000				
1189014	5451493	2005	April	200504	28	1900	4/28/05 19:00	200504	30	1900	4/30/05 19:00	Flood	Flood	MAINE	NORTHERN OXFORD	0	0	40000				
1189010	5451403	2005	April	200504	3	500	4/3/05 5:00	200504	4	700	4/4/05 7:00	Flood	Flood	MAINE	SOUTHERN OXFORD	0	0	15000				
1189014	5451489	2005	April	200504	28	100	4/28/05 1:00	200504	29	700	4/29/05 7:00	Flood	Flood	MAINE	KENNEBEC	0	0	80000				
1189010	5451388	2005	April	200504	3	300	4/3/05 3:00	200504	4	700	4/4/05 7:00	Flood	Flood	MAINE	ANDROSCOGGIN	0	0	15000				
1189010	5451398	2005	April	200504	3	1100	4/3/05 11:00	200504	4	1100	4/4/05 11:00	Flood	Flood	MAINE	LINCOLN	0	0	7000				
1189012	5451416	2005	April	200504	24	1300	4/24/05 13:00	200504	25	700	4/25/05 7:00	Flood	Flood	MAINE	NORTHERN FRANKLIN	0	0	2000				
1189012	5451417	2005	April	200504	24	1430	4/24/05 14:30	200504	25	230	4/25/05 2:30	Flood	Flood	MAINE	NORTHERN OXFORD	0	0	5000				
1189014	5451481	2005	April	200504	28	1900	4/28/05 19:00	200504	30	1900	4/30/05 19:00	Flood	Flood	MAINE	ANDROSCOGGIN	0	0	60000				
1189010	5451394	2005	April	200504	3	1100	4/3/05 11:00	200504	4	1100	4/4/05 11:00	Flood	Flood	MAINE	INTERIOR WALDO	0	0	5000				
1189010	5451399	2005	April	200504	3	500	4/3/05 5:00	200504	4	700	4/4/05 7:00	Flood	Flood	MAINE	NORTHERN FRANKLIN	0	0	2000				
1189010	5451393	2005	April	200504	3	300	4/3/05 3:00	200504	4	1100	4/4/05 11:00	Flood	Flood	MAINE	INTERIOR CUMBERLAND	0	0	7000				
1189011	5451411	2005	April	200504	3	900	4/3/05 9:00	200504	4	700	4/4/05 7:00	Flood	Flood	NEW HAMPSHIRE	SOUTHERN COOS	0	0	1000				
1189011	5451410	2005	April	200504	3	900	4/3/05 9:00	200504	4	700	4/4/05 7:00	Flood	Flood	NEW HAMPSHIRE	SOUTHERN CARROLL	0	0	7000				
1189012	5451418	2005	April	200504	24	1300	4/24/05 13:00	200504	25	700	4/25/05 7:00	Flood	Flood	MAINE	SOUTHERN FRANKLIN	0	0	2000				
1189012	5451419	2005	April	200504	24	1430	4/24/05 14:30	200504	25	230	4/25/05 2:30	Flood	Flood	MAINE	SOUTHERN OXFORD	0	0	5000				
1189014	5451482	2005	April	200504	28	100	4/28/05 1:00	200504	29	700	4/29/05 7:00	Flood	Flood	MAINE	CENTRAL SOMERSET	0	0	14000				
1189011	5451414	2005	April	200504	3	700	4/3/05 7:00	200504	4	700	4/4/05 7:00	Flood	Flood	NEW HAMPSHIRE	SULLIVAN	0	0	10000				
1189010	5451392	2005	April	200504	3	100	4/3/05 1:00	200504	4	700	4/4/05 7:00	Flood	Flood	MAINE	COASTAL YORK	0	0	5000				
1189011	5451409	2005	April	200504	3	700	4/3/05 7:00	200504	4	700	4/4/05 7:00	Flood	Flood	NEW HAMPSHIRE	NORTHERN GRAFTON	0	0	112000				
1189014	5451486	2005	April	200504	28	1900	4/28/05 19:00	200504	30	1900	4/30/05 19:00	Flood	Flood	MAINE	INTERIOR CUMBERLAND	0	0	30000				
1189010	5451396	2005	April	200504	3	300	4/3/05 3:00	200504	4	700	4/4/05 7:00	Flood	Flood	MAINE	KENNEBEC	0	0	20000				
1189011	5451408	2005	April	200504	3	900	4/3/05 9:00	200504	4	700	4/4/05 7:00	Flood	Flood	NEW HAMPSHIRE	NORTHERN COOS	0	0	1000				
1189011	5451407	2005	April	200504	3	900	4/3/05 9:00	200504	4	700	4/4/05 7:00	Flood	Flood	NEW HAMPSHIRE	NORTHERN CARROLL	0	0	7000				
1189014	5451488	2005	April	200504	28	1900	4/28/05 19:00	200504	30	1900	4/30/05 19:00	Flood	Flood	MAINE	INTERIOR YORK	0	0	196000				
1189014	5451484	2005	April	200504	28	2200	4/28/05 22:00	200504	30	100	4/30/05 1:00	Flood	Flood	MAINE	COASTAL WALDO	0	0	14000				
1189011	5451413	2005	April	200504	3	700	4/3/05 7:00	200504	4	700	4/4/05 7:00	Flood	Flood	NEW HAMPSHIRE	STRAFFORD	0	0	10000				
1189013	5451422	2005	April	200504	24	1000	4/24/05 10:00	200504	25	300	4/25/05 3:00	Flood	Flood	NEW HAMPSHIRE	NORTHERN COOS	0	0	12000				
1189010	5451397	2005	April	200504	3	1100	4/3/05 11:00	200504	4	1100	4/4/05 11:00	Flood	Flood	MAINE	KNOX	0	0	5000				
1189012	5451415	2005	April	200504	24	1300	4/24/05 13:00	200504	25	700	4/25/05 7:00	Flood	Flood	MAINE	CENTRAL SOMERSET	0	0	2000				
1189010	5451402	2005	April	200504	3	500	4/3/05 5:00	200504	4	700	4/4/05 7:00	Flood	Flood	MAINE	SOUTHERN FRANKLIN	0	0	2000				
1189013	5451425	2005	April	200504	24	1000	4/24/05 10:00	200504	25	300	4/25/05 3:00	Flood	Flood	NEW HAMPSHIRE	SOUTHERN COOS	0	0	12000				
1189011	5451406	2005	April	200504	3	900	4/3/05 9:00	200504	4	700	4/4/05 7:00	Flood	Flood	NEW HAMPSHIRE	MERRIMACK	0	0	25000				
1189010	5451391	2005	April	200504	3	1100	4/3/05 11:00	200504	4	1100	4/4/05 11:00	Flood	Flood	MAINE	COASTAL WALDO	0	0	5000				
1189014	5451494	2005	April	200504	28	2200	4/28/05 22:00	200504	30	100	4/30/05 1:00	Flood	Flood	MAINE	SAGADAHOC	0	0	3000				
1189010	5451400	2005	April	200504	3	500	4/3/05 5:00	200504	4	700	4/4/05 7:00	Flood	Flood	MAINE	NORTHERN OXFORD	0	0	15000				
1189013	5451421	2005	April	200504	24	1230	4/24/05 12:30	200504	25	445	4/25/05 4:45	Flood	Flood	NEW HAMPSHIRE	NORTHERN CARROLL	0	0	5000				
1189010	5451395	2005	April	200504	3	100	4/3/05 1:00	200504	4	700	4/4/05 7:00	Flood	Flood	MAINE	INTERIOR YORK	0	0	5000				
1189010	5451389	2005	April	200504	3	700	4/3/05 7:00	200504	4	700	4/4/05 7:00	Flood	Flood	MAINE	CENTRAL SOMERSET	0	0	5000				
1189011	5451405	2005	April	200504	3	700	4/3/05 7:00	200504	4	700	4/4/05 7:00	Flood	Flood	NEW HAMPSHIRE	BELKNAP	0	0	10000				
1189011	5451412	2005	April	200504	3	700	4/3/05 7:00	200504	4	700	4/4/05 7:00	Flood	Flood	NEW HAMPSHIRE	SOUTHERN GRAFTON	0	0	112000				
1189012	5451420	2005	April	200504	24	1300	4/24/05 13:00	200504	25	700	4/25/05 7:00	Flood	Flood	MAINE	SOUTHERN SOMERSET	0	0	2000				
1189014	5451483	2005	April	200504	28	1900	4/28/05 19:00	200504	30	1900	4/30/05 19:00	Flood	Flood	MAINE	COASTAL CUMBERLAND	0	0	30000				
1189010	5451404	2005	April	200504	3	700	4/3/05 7:00	200504	4	700	4/4/05 7:00	Flood	Flood	MAINE	SOUTHERN SOMERSET	0	0	5000				
1189014	5451496	2005	April	200504	28	1900	4/28/05 19:00	200504	30	1900	4/30/05 19:00	Flood	Flood	MAINE	SOUTHERN OXFORD	0	0	40000				
1187230	5443324	2005	April	200504	7	1730	4/7/05 17:30	200504	7	1730	4/7/05 17:30	Hail	Ice / Sleet / Hail	FLORIDA	ORANGE	0	0	5000	2.75			
1186577	5445590	2005	April	200504	17	1530	4/17/05 15:30	200504	17	1710	4/17/05 17:10	Hail	Ice / Sleet / Hail	NEW MEXICO	EDDY	0	0	9000	1.75			
1186577	5445493	2005	April	200504	17	1535	4/17/05 15:35	200504	17	1600	4/17/05 16:00	Hail	Ice / Sleet / Hail	NEW MEXICO	EDDY	0	0	9000	2.5			
1187230	5443321	2005	April	200504	7	1740	4/7/05 17:40	200504	7	1740	4/7/05 17:40	Hail	Ice / Sleet / Hail	FLORIDA	ORANGE	0	0	1000	2.25			
1188433	5445773	2005	April	200504	22	1350	4/22/05 13:50	200504	22	1400	4/22/05 14:00	Hail	Ice / Sleet / Hail	ALABAMA	AUTAUGA	0	0	2000	4.5			
1187879	5448044	2005	April	200504	18	1705	4/18/05 17:05	200504	18	1705	4/18/05 17:05	Hail	Ice / Sleet / Hail	NEBRASKA	FILLMORE	0	0	10000	1.75			
1187879	5448118	2005	April	200504	18	1745	4/18/05 17:45	200504	18	1745	4/18/05 17:45	Hail	Ice / Sleet / Hail	NEBRASKA	FILLMORE	0	0	10000	1.75			
1187879	5448119	2005	April	200504	18	1800	4/18/05 18:00	200504	18	1800	4/18/05 18:00	Hail	Ice / Sleet / Hail	NEBRASKA	FILLMORE	0	0	1.00E+06	1.75			
1188440	5445845	2005	April	200504	22	1435	4/22/05 14:35	200504	22	1435	4/22/05 14:35	Hail	Ice / Sleet / Hail	ALABAMA	ELMORE	0	0	1000	1.75			
1188404	5445686	2005	April	200504	21	1759	4/21/05 17:59	200504	21	1832	4/21/05 18:32	Hail	Ice / Sleet / Hail	ALABAMA	TUSCALOOSA	0	0	1000	1.75			
1187882	5448221	2005	April	200504	5	1526	4/5/05 15:26	200504	5	1526	4/5/05 15:26	Hail	Ice / Sleet / Hail	KANSAS	OSBORNE	0	0	3000	1.75			
1187879	5448131	2005	April	200504	18	1958	4/18/05 19:58	200504	18	1958	4/18/05 19:58	Hail	Ice / Sleet / Hail	NEBRASKA	NUCKOLLS	0	0	2000	1.25			
1187880	5448143	2005	April	200504	21	48	4/21/05 0:48	200504	21	48	4/21/05 0:48	Hail	Ice / Sleet / Hail	NEBRASKA	HAMILTON	0	0	10000	1.75			
1187879	5448123	2005	April	200504	18	1837	4/18/05 18:37	200504	18	1837	4/18/05 18:37	Hail	Ice / Sleet / Hail	NEBRASKA	FILLMORE	1	0	10000	2.75			
1187879	5448127	2005	April	200504	18	1910	4/18/05 19:10	200504	18	1910	4/18/05 19:10	Hail	Ice / Sleet / Hail	NEBRASKA	FILLMORE	0	0	25000	2.75			
1188374	5447772	2005	April	200504	6	1312	4/6/05 13:12	200504	6	1352	4/6/05 13:52	Hail	Ice / Sleet / Hail	ALABAMA	HALE	0	0	1000	1.75			
1188475	5445944	2005	April	200504	22	1808	4/22/05 18:08	200504	22	1841	4/22/05 18:41	Hail	Ice / Sleet / Hail	ALABAMA	MONTGOMERY	0	0	1000	1.75			
1187885	5448232	2005	April	200504	18	2025	4/18/05 20:25	200504	18	2025	4/18/05 20:25	Hail	Ice / Sleet / Hail	KANSAS	JEWELL	0	0	3000	1.25			
1187879	5448122	2005	April	200504	18	1837	4/18/05 18:37	200504	18	1837	4/18/05 18:37	Hail	Ice / Sleet / Hail	NEBRASKA	FILLMORE	0	0	10000	1.75			
1187879	5448135	2005	April	200504	18	2121	4/18/05 21:21	200504	18	2121	4/18/05 21:21	Hail	Ice / Sleet / Hail	NEBRASKA	NUCKOLLS	0	0	25000	1.75			
1187878	5448034	2005	April	200504	10	655	4/10/05 6:55	200504	10	655	4/10/05 6:55	Hail	Ice / Sleet / Hail	NEBRASKA	CLAY	0	0	1000	1.5			
1187880	5448144	2005	April	200504	21	53	4/21/05 0:53	200504	21	53	4/21/05 0:53	Hail	Ice / Sleet / Hail	NEBRASKA	MERRICK	0	0	10000	2			
1187880	5448145	2005	April	200504	21	120	4/21/05 1:20	200504	21	120	4/21/05 1:20	Hail	Ice / Sleet / Hail	NEBRASKA	MERRICK	0	0	2000	1.5			
1187880	5448147	2005	April	200504	21	205	4/21/05 2:05	200504	21	205	4/21/05 2:05	Hail	Ice / Sleet / Hail	NEBRASKA	GREELEY	0	0	3000	1.75			
1187879	5448125	2005	April	200504	18	1900	4/18/05 19:00	200504	18	1900	4/18/05 19:00	Hail	Ice / Sleet / Hail	NEBRASKA	FILLMORE	0	0	10000	1.75			
1187879	5448129	2005	April	200504	18	1933	4/18/05 19:33	200504	18	1933	4/18/05 19:33	Hail	Ice / Sleet / Hail	NEBRASKA	THAYER	0	0	25000	1.75			
1187886	5448235	2005	April	200504	20	2053	4/20/05 20:53	200504	20	2053	4/20/05 20:53	Hail	Ice / Sleet / Hail	KANSAS	MITCHELL	0	0	3000	1.75			
1189007	5451208	2005	April	200504	22	1642	4/22/05 16:42	200504	22	1725	4/22/05 17:25	Hail	Ice / Sleet / Hail	LOUISIANA	TENSAS	0	0	17000	1.75			
1189006	5450921	2005	April	200504	22	1535	4/22/05 15:35	200504	22	1604	4/22/05 16:04	Hail	Ice / Sleet / Hail	MISSISSIPPI	WINSTON	0	0	21000	2.75			
1189006	5450924	2005	April	200504	22	1600	4/22/05 16:00	200504	22	1617	4/22/05 16:17	Hail	Ice / Sleet / Hail	MISSISSIPPI	NOXUBEE	0	0	20000	2.5			
1189006	5450919	2005	April	200504	22	1506	4/22/05 15:06	200504	22	1602	4/22/05 16:02	Hail	Ice / Sleet / Hail	MISSISSIPPI	KEMPER	0	0	31000	4.25			
1189007	5451206	2005	April	200504	22	1615	4/22/05 16:15	200504	22	1641	4/22/05 16:41	Hail	Ice / Sleet / Hail	LOUISIANA	FRANKLIN	0	0	28000	1.75			
1189006	5450842	2005	April	200504	22	1453	4/22/05 14:53	200504	22	1506	4/22/05 15:06	Hail	Ice / Sleet / Hail	MISSISSIPPI	SHARKEY	0	0	4000	0.02			
1189006	5450925	2005	April	200504	22	1535	4/22/05 15:35	200504	22	1547	4/22/05 15:47	Hail	Ice / Sleet / Hail	MISSISSIPPI	YAZOO	0	0	51000	2.75			
1189006	5450926	2005	April	200504	22	1535	4/22/05 15:35	200504	22	1612	4/22/05 16:12	Hail	Ice / Sleet / Hail	MISSISSIPPI	RANKIN	0	0	31000	1.75			
1189006	5450844	2005	April	200504	22	1512	4/22/05 15:12	200504	22	1607	4/22/05 16:07	Hail	Ice / Sleet / Hail	MISSISSIPPI	RANKIN	0	0	21000	2			
1189006	5451011	2005	April	200504	22	1605	4/22/05 16:05	200504	22	1640	4/22/05 16:40	Hail	Ice / Sleet / Hail	MISSISSIPPI	SIMPSON	0	0	24000	1.75			
1187918	5448566	2005	April	200504	1	1050	4/1/05 10:50	200504	1	1052	4/1/05 10:52	Avalanche	Landslide / Avalanche	COLORADO	GRAND AND BATTLEMENT MESAS	0	1	0				
1187654	5442666	2005	April	200504	23	1915	4/23/05 19:15	200504	23	1915	4/23/05 19:15	Lightning	Lightning	PENNSYLVANIA	DELAWARE	0	0	10000				
1187562	5443636	2005	April	200504	1	1100	4/1/05 11:00	200504	1	1100	4/1/05 11:00	Lightning	Lightning	FLORIDA	SANTA ROSA	1	0	0				
1186580	5445595	2005	April	200504	6	1615	4/6/05 16:15	200504	6	1615	4/6/05 16:15	Lightning	Lightning	WISCONSIN	GRANT	1	0	0				
1188752	5446565	2005	April	200504	28	1314	4/28/05 13:14	200504	28	1314	4/28/05 13:14	Lightning	Lightning	CALIFORNIA	KINGS	0	0	6000				
1188177	5447988	2005	April	200504	8	835	4/8/05 8:35	200504	8	835	4/8/05 8:35	Lightning	Lightning	FLORIDA	LEE	0	1	0				
1188999	5450680	2005	April	200504	6	1330	4/6/05 13:30	200504	6	1330	4/6/05 13:30	Lightning	Lightning	MISSISSIPPI	YAZOO	0	1	0				
1188978	5450519	2005	April	200504	8	1820	4/8/05 18:20	200504	8	1820	4/8/05 18:20	Lightning	Lightning	SOUTH CAROLINA	LANCASTER	0	0	12000				
1188118	5447520	2005	April	200504	19	1800	4/19/05 18:00	200504	19	1800	4/19/05 18:00	Heavy Rain	Rain / Thunderstorm	PUERTO RICO	NORTHEAST	0	2	0				
1187879	5448035	2005	April	200504	18	1530	4/18/05 15:30	200504	18	1830	4/18/05 18:30	Heavy Rain	Rain / Thunderstorm	NEBRASKA	YORK	0	0	10000	338			
1187884	5448231	2005	April	200504	11	1415	4/11/05 14:15	200504	11	1530	4/11/05 15:30	Heavy Rain	Rain / Thunderstorm	KANSAS	JEWELL	0	0	2000				
1187879	5448124	2005	April	200504	18	1900	4/18/05 19:00	200504	18	2230	4/18/05 22:30	Heavy Rain	Rain / Thunderstorm	NEBRASKA	NUCKOLLS	0	0	2000	278			
1188208	5442888	2005	April	200504	14	1705	4/14/05 17:05	200504	14	1710	4/14/05 17:10	Dust Devil	Vortex	SOUTH DAKOTA	PERKINS	0	0	2000				
1187781	5443269	2005	April	200504	6	650	4/6/05 6:50	200504	6	715	4/6/05 7:15	Tornado	Vortex	MISSISSIPPI	PIKE	2	0	0				F2
1186609	5444016	2005	April	200504	7	1440	4/7/05 14:40	200504	7	1530	4/7/05 15:30	Tornado	Vortex	FLORIDA	MARION	3	0	0				F1
1188520	5446333	2005	April	200504	30	422	4/30/05 4:22	200504	30	423	4/30/05 4:23	Tornado	Vortex	ALABAMA	SHELBY	0	0	20000				F1
1187786	5443275	2005	April	200504	6	1112	4/6/05 11:12	200504	6	1118	4/6/05 11:18	Tornado	Vortex	LOUISIANA	LAFOURCHE	2	0	0				F2
1188525	5446342	2005	April	200504	30	530	4/30/05 5:30	200504	30	533	4/30/05 5:33	Tornado	Vortex	ALABAMA	RANDOLPH	0	0	6000				F1
1188498	5446119	2005	April	200504	30	205	4/30/05 2:05	200504	30	206	4/30/05 2:06	Tornado	Vortex	ALABAMA	WALKER	0	0	12000				F1
1188539	5446511	2005	April	200504	30	654	4/30/05 6:54	200504	30	710	4/30/05 7:10	Tornado	Vortex	ALABAMA	BULLOCK	0	0	4000				F0
1188540	5446512	2005	April	200504	30	712	4/30/05 7:12	200504	30	719	4/30/05 7:19	Tornado	Vortex	ALABAMA	BARBOUR	0	0	4000				F1
1188525	5446338	2005	April	200504	30	514	4/30/05 5:14	200504	30	529	4/30/05 5:29	Tornado	Vortex	ALABAMA	TALLAPOOSA	0	0	2000				F1
1188525	5446339	2005	April	200504	30	514	4/30/05 5:14	200504	30	526	4/30/05 5:26	Tornado	Vortex	ALABAMA	CLAY	0	0	8000				F1
1188525	5446340	2005	April	200504	30	526	4/30/05 5:26	200504	30	529	4/30/05 5:29	Tornado	Vortex	ALABAMA	RANDOLPH	0	0	1000				F1
1188508	5446236	2005	April	200504	30	316	4/30/05 3:16	200504	30	324	4/30/05 3:24	Tornado	Vortex	ALABAMA	TUSCALOOSA	0	0	9000				F0
1188529	5446418	2005	April	200504	30	552	4/30/05 5:52	200504	30	553	4/30/05 5:53	Tornado	Vortex	ALABAMA	LOWNDES	1	0	11000				F1
1188751	5446563	2005	April	200504	8	1720	4/8/05 17:20	200504	8	1732	4/8/05 17:32	Tornado	Vortex	CALIFORNIA	MERCED	0	0	7000				F0
1188517	5446244	2005	April	200504	30	404	4/30/05 4:04	200504	30	418	4/30/05 4:18	Tornado	Vortex	ALABAMA	SHELBY	0	0	40000				F1
1189003	5447083	2005	April	200504	6	842	4/6/05 8:42	200504	6	859	4/6/05 8:59	Tornado	Vortex	MISSISSIPPI	SMITH	0	0	2012000				F2
1188376	5447775	2005	April	200504	6	1651	4/6/05 16:51	200504	6	1653	4/6/05 16:53	Tornado	Vortex	ALABAMA	PICKENS	0	0	5000				F0
1188474	5447842	2005	April	200504	22	1803	4/22/05 18:03	200504	22	1804	4/22/05 18:04	Tornado	Vortex	ALABAMA	CHEROKEE	0	0	2000				F0
1189002	5447081	2005	April	200504	6	726	4/6/05 7:26	200504	6	803	4/6/05 8:03	Tornado	Vortex	MISSISSIPPI	LEAKE	0	0	71000				F1
1188999	5451188	2005	April	200504	6	610	4/6/05 6:10	200504	6	636	4/6/05 6:36	Tornado	Vortex	MISSISSIPPI	RANKIN	6	0	1001000				F3
1188999	5450449	2005	April	200504	6	1443	4/6/05 14:43	200504	6	1448	4/6/05 14:48	Tornado	Vortex	MISSISSIPPI	SMITH	0	0	4000				F1
1188999	5451191	2005	April	200504	6	700	4/6/05 7:00	200504	6	710	4/6/05 7:10	Tornado	Vortex	MISSISSIPPI	SCOTT	0	0	75000				F1
1200754	5481468	2005	April	200504	5	2315	4/5/05 23:15	200504	5	2321	4/5/05 23:21	Tornado	Vortex	LOUISIANA	BIENVILLE	1	0	0				F1
1199526	5478739	2005	April	200504	8	1522	4/8/05 15:22	200504	8	1522	4/8/05 15:22	Tornado	Vortex	CALIFORNIA	SACRAMENTO	0	0	2000				F0
1199528	5478741	2005	April	200504	8	1312	4/8/05 13:12	200504	8	1312	4/8/05 13:12	Tornado	Vortex	CALIFORNIA	SAN JOAQUIN	0	0	9000				F0
1186576	5445492	2005	April	200504	5	500	4/5/05 5:00	200504	5	1600	4/5/05 16:00	High Wind	Wind	TEXAS	DAVIS / APACHE MOUNTAINS AREA	0	0	1000	68	MG		
1188380	5447779	2005	April	200504	6	2125	4/6/05 21:25	200504	6	2125	4/6/05 21:25	High Wind	Wind	ALABAMA	CLAY	0	0	2000	51	EG		
1188013	5448494	2005	April	200504	3	400	4/3/05 4:00	200504	3	1800	4/3/05 18:00	High Wind	Wind	NORTH CAROLINA	WILKES	1	0	0	50	EG		
1189023	5450473	2005	April	200504	3	1000	4/3/05 10:00	200504	3	1600	4/3/05 16:00	High Wind	Wind	WEST VIRGINIA	GRANT	2	1	0	50	EG		
1187574	5443710	2005	April	200504	26	1400	4/26/05 14:00	200504	26	1400	4/26/05 14:00	Marine Thunderstorm Wind	Wind	ATLANTIC SOUTH	JUPITER INLET TO DEERFIELD BEACH FL 20 TO 60NM	0	1	0	30	EG		
1186641	5444549	2005	April	200504	2	1300	4/2/05 13:00	200504	2	1800	4/2/05 18:00	Strong Wind	Wind	SOUTH CAROLINA	HAMPTON	0	1	0	45	EG		
1187237	5443435	2005	April	200504	28	1515	4/28/05 15:15	200504	28	1515	4/28/05 15:15	Strong Wind	Wind	NEW YORK	NEW YORK (MANHATTAN)	2	0	0	31	MG		
1186579	5445594	2005	April	200504	6	1430	4/6/05 14:30	200504	6	1630	4/6/05 16:30	Strong Wind	Wind	TEXAS	SCURRY	0	0	3000	42	MG		
1188378	5447777	2005	April	200504	6	1740	4/6/05 17:40	200504	6	1815	4/6/05 18:15	Strong Wind	Wind	ALABAMA	DALLAS	0	0	1000	40	EG		
1188000	5447725	2005	April	200504	2	900	4/2/05 9:00	200504	2	1700	4/2/05 17:00	Strong Wind	Wind	GEORGIA	CLARKE	2	0	0	39	EG		
1187231	5443325	2005	April	200504	2	937	4/2/05 9:37	200504	2	937	4/2/05 9:37	Thunderstorm Wind	Wind	FLORIDA	OKEECHOBEE	0	0	1000	50	EG		
1188414	5445696	2005	April	200504	22	1002	4/22/05 10:02	200504	22	1012	4/22/05 10:12	Thunderstorm Wind	Wind	ALABAMA	RANDOLPH	0	0	12000	52	EG		
1188505	5446124	2005	April	200504	30	302	4/30/05 3:02	200504	30	351	4/30/05 3:51	Thunderstorm Wind	Wind	ALABAMA	TUSCALOOSA	0	0	6000	55	EG		
